"","robot_id","run","gen","vel","dvel","fitness","t_eval","exp","births","t_birth","parent1","parent2","nparts","x","y","z","extremity_count","joint_count","motor_count","inputs","outputs","hidden","conn","bbox_min_x","bbox_min_y","bbox_min_z","bbox_max_x","bbox_max_y","bbox_max_z"
"world1n_diagonal.12",1012348,12,99,0.0402177659745884,0.0156609963294212,0.118522747621694,4.79952597618103,"world1n_diagonal",1500,337521.9801,1012084,1011910,13,0,0,0.0225,2,9,9,6,9,10,20,-0.0827,-0.0778122603259689,-0.0225,0.513670260325969,0.045,0.0225
"world1n_diagonal.15",1024568,15,95,0.0305222139209029,0.012921003208042,0.095127229961113,3.86369895935059,"world1n_diagonal",1440,671384.0493,1023794,1024252,11,0,0,0.0225,2,8,8,6,8,5,22,-0.108138954982098,-0.413452479937983,-0.0225,0.045,0.045,0.0225
"world1n_diagonal.16",1027855,16,79,0.0287122126079506,0.0123665353123315,0.0905448891696083,4.5430850982666,"world1n_diagonal",1200,763690.017,1027745,1026620,17,0,0,0.0225,3,8,8,6,8,0,0,-0.0841584867158316,-0.411292171797469,-0.0225,0.215825541353835,0.210280486715832,0.0225
"world1n_diagonal.17",1030886,17,46,0.0448040539689658,0.00744022543352202,0.0820051811365759,5.23343300819397,"world1n_diagonal",705,846928.0398,1029529,1030102,16,0,0,0.0225,4,10,10,6,10,4,12,-0.112570733481808,-0.12661561930213,-0.0225,0.0860000753005663,0.447313295594056,0.0225
"world1n_diagonal.19",1041111,19,99,0.0294927154719892,0.0100032387197771,0.0795089090708745,3.85978507995605,"world1n_diagonal",1500,1132300.0647,1040961,1040043,12,0,0,0.0225,3,9,9,6,9,3,24,-0.0827,-0.045,-0.0225,0.16140004511119,0.312200062444711,0.0225
"world1n_diagonal.14",1019410,14,70,0.034130633307097,0.0079344882141748,0.0738030743779709,5.64442014694214,"world1n_diagonal",1065,530441.0334,1018922,1018844,22,0,0,0.0225,5,10,10,6,10,8,60,-0.045,-0.43242686714496,-0.0225,0.0884076131793983,0.290676613179398,0.0225
"world1n_diagonal.11",1005731,11,39,0.0380830541650962,0.00478666418055885,0.0620163750678905,5.08313012123108,"world1n_diagonal",600,153649.0215,1005697,1005362,19,0,0,0.0225,7,9,9,6,9,2,18,-0.27524819231683,-0.045,-0.0225,0.0512921475129984,0.322372388183035,0.0225
"world1n_diagonal.18",1034831,18,53,0.0353387310813621,0.00469070980185209,0.0587922800906225,3.00048208236694,"world1n_diagonal",810,957121.0731,1034014,12,0,0,0.0225,4,6,6,6,6,7,43,-0.313106237642792,-0.045,-0.0225,0.123700054398519,0.123700075300566,0.0225,NA
"world1n_diagonal.13",1012718,13,8,0.0217124263528206,0.00159525511662686,0.029688701935955,3.10048699378967,"world1n_diagonal",135,347540.9847,1012645,1012677,16,0,0,0.0225,5,5,5,6,5,9,18,-0.263060588179275,-0.045,-0.0225,0.234058979855885,0.191057979855885,0.0225
"world1n_diagonal.10",1002607,10,95,0.010786978603247,0.0023932839692328,0.022753398449411,3.2234308719635,"world1n_diagonal",1440,69307.0413,1002319,10,0,0,0.0225,6,7,7,6,7,2,23,-0.0827,-0.0582000624447111,-0.0225,0.202400045111024,0.0827000624447111,0.0225,NA
